t_s,V_mps,alt_m,climb_mps,throttle,flap
0.000,144.17,2497.8,-4.49,1.00,0.00
0.100,144.66,2497.3,-4.78,1.00,0.00
0.200,145.15,2496.8,-5.03,1.00,0.00
0.300,145.64,2496.3,-5.23,1.00,0.00
0.400,146.13,2495.8,-5.39,1.00,0.00
0.500,146.62,2495.2,-5.53,1.00,0.00
0.600,147.11,2494.7,-5.64,1.00,0.00
0.700,147.60,2494.1,-5.72,1.00,0.00
0.800,148.09,2493.5,-5.76,1.00,0.00
0.900,148.58,2493.0,-5.76,1.00,0.00
1.000,149.07,2492.4,-5.75,1.00,0.00
1.100,149.56,2491.8,-5.73,1.00,0.00
1.200,150.04,2491.2,-5.72,1.00,0.00
1.300,150.53,2490.7,-5.70,1.00,0.00
1.400,151.01,2490.1,-5.69,1.00,0.00
1.500,151.50,2489.5,-5.67,1.00,0.00
1.600,151.98,2489.0,-5.66,1.00,0.00
1.700,152.46,2488.4,-5.65,1.00,0.00
1.800,152.94,2487.8,-5.63,1.00,0.00
1.900,153.41,2487.3,-5.62,1.00,0.00
2.000,153.89,2486.7,-5.61,1.00,0.00
2.100,154.36,2486.2,-5.59,1.00,0.00
2.200,154.84,2485.6,-5.58,1.00,0.00
2.300,155.31,2485.0,-5.57,1.00,0.00
2.400,155.78,2484.5,-5.55,1.00,0.00
2.500,156.25,2483.9,-5.54,1.00,0.00
2.600,156.72,2483.4,-5.53,1.00,0.00
2.700,157.19,2482.8,-5.51,1.00,0.00
2.800,157.66,2482.3,-5.50,1.00,0.00
2.900,158.13,2481.7,-5.49,1.00,0.00
3.000,158.59,2481.2,-5.48,1.00,0.00
3.100,159.05,2480.6,-5.47,1.00,0.00
3.200,159.52,2480.1,-5.46,1.00,0.00
3.300,159.98,2479.5,-5.45,1.00,0.00
3.400,160.44,2479.0,-5.45,1.00,0.00
3.500,160.90,2478.4,-5.44,1.00,0.00
3.600,161.36,2477.9,-5.43,1.00,0.00
3.700,161.81,2477.3,-5.42,1.00,0.00
3.800,162.27,2476.8,-5.41,1.00,0.00
3.900,162.72,2476.3,-5.40,1.00,0.00
4.000,163.18,2475.7,-5.39,1.00,0.00
4.100,163.63,2475.2,-5.46,1.00,0.00
4.200,164.08,2474.6,-6.31,1.00,0.00
4.300,164.54,2473.9,-8.21,1.00,0.00
4.400,165.01,2472.9,-11.04,1.00,0.00
4.500,165.48,2471.6,-15.11,1.00,0.00
4.600,165.97,2469.8,-19.37,1.00,0.00
4.700,166.49,2467.7,-22.93,1.00,0.00
4.800,167.03,2465.2,-26.29,1.00,0.00
4.900,167.60,2462.4,-29.08,1.00,0.00
5.000,168.18,2459.4,-31.37,1.00,0.00
5.100,168.77,2456.2,-33.26,1.00,0.00
5.200,169.36,2452.8,-34.83,1.00,0.00
5.300,169.97,2449.2,-36.13,1.00,0.00
5.400,170.57,2445.5,-37.21,1.00,0.00
5.500,171.18,2441.8,-38.11,1.00,0.00
5.600,171.79,2437.9,-38.85,1.00,0.00
5.700,172.41,2434.0,-39.48,1.00,0.00
5.800,173.02,2430.0,-40.01,1.00,0.00
5.900,173.63,2426.0,-40.52,1.00,0.00
6.000,174.24,2421.9,-41.07,1.00,0.00
6.100,174.85,2417.8,-41.64,1.00,0.00
6.200,175.45,2413.6,-42.13,1.00,0.00
6.300,176.06,2409.3,-42.48,1.00,0.00
6.400,176.66,2405.1,-42.66,1.00,0.00
6.500,177.27,2400.8,-42.73,1.00,0.00
6.600,177.86,2396.5,-42.83,1.00,0.00
6.700,178.46,2392.2,-42.96,1.00,0.00
6.800,179.05,2387.9,-43.09,1.00,0.00
6.900,179.64,2383.6,-43.23,1.00,0.00
7.000,180.23,2379.3,-43.37,1.00,0.00
7.100,180.81,2374.9,-43.51,1.00,0.00
7.200,181.39,2370.6,-43.70,1.00,0.00
7.300,181.96,2366.2,-44.00,1.00,0.00
7.400,182.54,2361.8,-44.38,1.00,0.00
7.500,183.11,2357.3,-44.78,1.00,0.00
7.600,183.68,2352.8,-45.14,1.00,0.00
7.700,184.24,2348.3,-45.43,1.00,0.00
7.800,184.81,2343.7,-45.59,1.00,0.00
7.900,185.37,2339.2,-45.64,1.00,0.00
8.000,185.93,2334.6,-45.77,1.00,0.00
8.100,186.48,2330.0,-46.03,1.00,0.00
8.200,187.03,2325.4,-46.34,1.00,0.00
8.300,187.58,2320.7,-46.61,1.00,0.00
8.400,188.12,2316.1,-46.72,1.00,0.00
8.500,188.66,2311.4,-46.67,1.00,0.00
8.600,189.20,2306.7,-46.56,1.00,0.00
8.700,189.74,2302.0,-47.28,1.00,0.00
8.800,190.26,2297.2,-49.26,1.00,0.00
8.900,190.79,2292.1,-52.27,1.00,0.00
9.000,191.32,2286.7,-55.27,1.00,0.00
9.100,191.87,2281.1,-57.51,1.00,0.00
9.200,192.44,2275.2,-59.35,1.00,0.00
9.300,193.01,2269.2,-60.92,1.00,0.00
9.400,193.58,2263.0,-62.32,1.00,0.00
9.500,194.16,2256.7,-63.52,1.00,0.00
9.600,194.74,2250.3,-64.50,1.00,0.00
9.700,195.32,2243.8,-65.29,1.00,0.00
9.800,195.90,2237.3,-65.92,1.00,0.00
9.900,196.48,2230.6,-66.39,1.00,0.00
10.000,197.03,2224.0,-66.00,1.00,0.00
10.100,197.50,2217.5,-64.26,1.00,0.00
10.200,197.86,2211.3,-60.32,1.00,0.00
10.300,198.12,2205.6,-53.88,1.00,0.00
10.400,198.34,2200.6,-46.49,1.00,0.00
10.500,198.57,2196.3,-40.41,1.00,0.00
10.600,198.81,2192.5,-36.20,1.00,0.00
10.700,199.08,2189.0,-33.69,1.00,0.00
10.800,199.36,2185.7,-32.30,1.00,0.00
10.900,199.67,2182.5,-31.38,1.00,0.00
11.000,199.99,2179.4,-30.49,1.00,0.00
11.100,200.31,2176.4,-29.41,1.00,0.00
11.200,200.64,2173.6,-28.19,1.00,0.00
11.300,200.96,2170.8,-26.96,1.00,0.00
11.400,201.27,2168.2,-25.92,1.00,0.00
11.500,201.59,2165.6,-25.75,1.00,0.00
11.600,201.89,2162.9,-28.11,1.00,0.00
11.700,202.17,2159.9,-33.24,1.00,0.00
11.800,202.45,2156.2,-39.45,1.00,0.00
11.900,202.75,2151.9,-45.74,1.00,0.00
12.000,203.08,2147.0,-51.99,1.00,0.00
12.100,203.46,2141.5,-57.38,1.00,0.00
12.200,203.88,2135.5,-61.85,1.00,0.00
12.300,204.33,2129.1,-65.68,1.00,0.00
12.400,204.80,2122.4,-68.94,1.00,0.00
12.500,205.29,2115.3,-71.62,1.00,0.00
12.600,205.78,2108.0,-73.76,1.00,0.00
12.700,206.29,2100.6,-75.47,1.00,0.00
12.800,206.79,2092.9,-76.92,1.00,0.00
12.900,207.31,2085.2,-78.24,1.00,0.00
13.000,207.83,2077.3,-79.50,1.00,0.00
13.100,208.35,2069.3,-80.73,1.00,0.00
13.200,208.87,2061.1,-81.95,1.00,0.00
13.300,209.40,2052.9,-83.12,1.00,0.00
13.400,209.92,2044.5,-84.22,1.00,0.00
13.500,210.45,2036.0,-85.25,1.00,0.00
13.600,210.99,2027.4,-86.19,1.00,0.00
13.700,211.52,2018.8,-87.03,1.00,0.00
13.800,212.05,2010.0,-87.48,1.00,0.00
13.900,212.57,2001.3,-87.28,1.00,0.00
14.000,213.09,1992.6,-87.01,1.00,0.00
14.100,213.61,1983.9,-86.83,1.00,0.00
14.200,214.12,1975.2,-86.80,1.00,0.00
14.300,214.63,1966.5,-86.94,1.00,0.00
14.400,215.13,1957.8,-87.24,1.00,0.00
14.500,215.64,1949.1,-87.64,1.00,0.00
14.600,216.14,1940.3,-88.08,1.00,0.00
14.700,216.64,1931.4,-88.49,1.00,0.00
14.800,217.14,1922.6,-88.83,1.00,0.00
14.900,217.64,1913.7,-89.10,1.00,0.00
15.000,218.14,1904.7,-89.31,1.00,0.00
15.100,218.64,1895.8,-89.46,1.00,0.00
15.200,219.13,1886.9,-89.37,1.00,0.00
15.300,219.61,1877.9,-89.01,1.00,0.00
15.400,220.09,1869.0,-88.74,1.00,0.00
15.500,220.57,1860.2,-88.51,1.00,0.00
15.600,221.04,1851.3,-88.34,1.00,0.00
15.700,221.51,1842.5,-88.21,1.00,0.00
15.800,221.98,1833.7,-88.14,1.00,0.00
15.900,222.44,1824.9,-88.17,1.00,0.00
16.000,222.90,1816.1,-88.31,1.00,0.00
