t,V,alt,climb,throttle,flap
0.0000,245.671,1515.663,18.166,1.000,0.000
0.1000,245.796,1517.460,17.832,1.000,0.000
0.2000,245.918,1519.191,16.673,1.000,0.000
0.3000,246.016,1520.798,15.886,1.000,0.000
0.4000,246.101,1522.393,16.086,1.000,0.000
0.5000,246.189,1524.021,16.487,1.000,0.000
0.6000,246.282,1525.691,16.891,1.000,0.000
0.7000,246.379,1527.397,17.221,1.000,0.000
0.8000,246.481,1529.131,17.460,1.000,0.000
0.9000,246.587,1530.885,17.622,1.000,0.000
1.0000,246.697,1532.652,17.728,1.000,0.000
1.1000,246.809,1534.427,17.796,1.000,0.000
1.2000,246.925,1536.206,17.786,1.000,0.000
1.3000,247.035,1537.944,16.812,1.000,0.000
1.4000,247.140,1539.511,14.555,1.000,0.000
1.5000,247.251,1540.790,11.131,1.000,0.000
1.6000,247.379,1541.656,6.355,1.000,0.000
1.7000,247.529,1541.969,0.288,1.000,0.000
1.8000,247.702,1541.628,-6.578,1.000,0.000
1.9000,247.898,1540.574,-13.961,1.000,0.000
2.0000,248.120,1538.764,-21.480,1.000,0.000
2.1000,248.378,1536.246,-28.136,1.000,0.000
2.2000,248.647,1533.085,-34.614,1.000,0.000
2.3000,248.927,1529.289,-40.509,1.000,0.000
2.4000,249.246,1524.992,-44.804,1.000,0.000
2.5000,249.592,1520.335,-47.879,1.000,0.000
2.6000,249.953,1515.427,-49.916,1.000,0.000
2.7000,250.319,1510.399,-49.920,1.000,0.000
2.8000,250.639,1505.642,-44.768,1.000,0.000
2.9000,250.840,1501.638,-35.581,1.000,0.000
3.0000,250.894,1498.666,-24.522,1.000,0.000
3.1000,250.811,1496.881,-11.976,1.000,0.000
3.2000,250.619,1496.410,1.535,1.000,0.000
3.3000,250.371,1497.291,14.918,1.000,0.000
3.4000,250.086,1499.483,27.792,1.000,0.000
3.5000,249.759,1502.936,40.206,1.000,0.000
3.6000,249.385,1507.607,52.154,1.000,0.000
3.7000,248.968,1513.443,63.558,1.000,0.000
3.8000,248.509,1520.387,74.330,1.000,0.000
3.9000,248.013,1528.370,84.400,1.000,0.000
4.0000,247.480,1537.319,93.704,1.000,0.000
4.1000,246.915,1547.154,102.185,1.000,0.000
4.2000,246.320,1557.791,109.790,1.000,0.000
4.3000,245.700,1569.139,116.475,1.000,0.000
4.4000,245.057,1581.103,122.200,1.000,0.000
4.5000,244.396,1593.587,126.937,1.000,0.000
4.6000,243.720,1606.490,130.663,1.000,0.000
4.7000,243.033,1619.710,133.363,1.000,0.000
4.8000,242.341,1633.144,135.031,1.000,0.000
4.9000,241.646,1646.689,135.668,1.000,0.000
5.0000,240.952,1660.242,135.265,1.000,0.000
5.1000,240.266,1673.697,133.816,1.000,0.000
5.2000,239.589,1686.953,131.353,1.000,0.000
5.3000,238.928,1699.909,127.914,1.000,0.000
5.4000,238.284,1712.470,123.539,1.000,0.000
5.5000,237.663,1724.545,118.275,1.000,0.000
5.6000,237.067,1736.047,112.170,1.000,0.000
5.7000,236.500,1746.896,105.277,1.000,0.000
5.8000,235.966,1757.015,97.653,1.000,0.000
5.9000,235.497,1766.332,89.246,1.000,0.000
6.0000,235.116,1774.774,80.312,1.000,0.000
6.1000,234.773,1782.325,71.738,1.000,0.000
6.2000,234.542,1789.135,65.084,1.000,0.000
6.3000,234.293,1795.262,58.066,1.000,0.000
6.4000,234.089,1800.700,51.296,1.000,0.000
6.5000,233.898,1805.418,43.583,1.000,0.000
6.6000,233.768,1809.355,35.876,1.000,0.000
6.7000,233.680,1812.497,27.500,1.000,0.000
6.8000,233.619,1814.751,18.098,1.000,0.000
6.9000,233.594,1816.012,8.138,1.000,0.000
7.0000,233.705,1816.370,0.032,1.000,0.000
7.1000,233.871,1815.920,-8.595,1.000,0.000
7.2000,234.026,1814.554,-17.911,1.000,0.000
7.3000,234.134,1812.246,-27.455,1.000,0.000
7.4000,234.182,1808.975,-37.131,1.000,0.000
7.5000,234.178,1804.756,-46.288,1.000,0.000
7.6000,234.134,1799.689,-54.131,1.000,0.000
7.7000,234.017,1793.898,-60.996,1.000,0.000
7.8000,233.766,1787.460,-67.029,1.000,0.000
7.9000,233.497,1780.503,-71.445,1.000,0.000
8.0000,233.303,1773.195,-74.147,1.000,0.000
8.1000,233.101,1765.747,-74.244,1.000,0.000
8.2000,232.888,1758.452,-71.439,1.000,0.000
8.3000,232.656,1751.590,-65.720,1.000,0.000
8.4000,232.434,1745.443,-57.597,1.000,0.000
8.5000,232.180,1740.237,-46.879,1.000,0.000
8.6000,231.872,1736.234,-34.052,1.000,0.000
8.7000,231.562,1733.551,-20.693,1.000,0.000
8.8000,231.309,1732.175,-8.117,1.000,0.000
8.9000,231.218,1731.965,2.801,1.000,0.000
9.0000,231.247,1732.771,12.298,1.000,0.000
9.1000,231.325,1734.439,20.139,1.000,0.000
9.2000,231.416,1736.793,26.191,1.000,0.000
9.3000,231.507,1739.665,30.656,1.000,0.000
9.4000,231.594,1742.912,33.877,1.000,0.000
9.5000,231.669,1746.449,36.926,1.000,0.000
9.6000,231.676,1750.485,44.134,1.000,0.000
9.7000,231.531,1755.535,56.648,1.000,0.000
9.8000,231.192,1762.062,72.950,1.000,0.000
9.9000,230.697,1770.264,89.453,1.000,0.000
10.0000,230.100,1779.994,103.544,1.000,0.000
10.1000,229.408,1790.995,115.280,1.000,0.000
10.2000,228.661,1803.112,126.015,1.000,0.000
10.3000,227.893,1816.236,135.435,1.000,0.000
10.4000,227.124,1830.217,143.306,1.000,0.000
10.5000,226.353,1844.905,149.690,1.000,0.000
10.6000,225.575,1860.154,154.666,1.000,0.000
10.7000,224.792,1875.827,158.276,1.000,0.000
10.8000,224.006,1891.788,160.556,1.000,0.000
10.9000,223.222,1907.907,161.545,1.000,0.000
11.0000,222.442,1924.057,161.286,1.000,0.000
11.1000,221.672,1940.116,159.824,1.000,0.000
11.2000,220.916,1955.965,157.207,1.000,0.000
11.3000,220.177,1971.493,153.483,1.000,0.000
11.4000,219.462,1986.589,148.671,1.000,0.000
11.5000,218.774,2001.146,142.804,1.000,0.000
11.6000,218.156,2015.083,136.656,1.000,0.000
11.7000,217.671,2028.496,132.303,1.000,0.000
11.8000,217.242,2041.566,129.538,1.000,0.000
11.9000,216.738,2054.362,126.314,1.000,0.000
12.0000,216.093,2066.717,120.969,1.000,0.000
12.1000,215.429,2078.468,114.509,1.000,0.000
12.2000,214.835,2089.554,107.766,1.000,0.000
12.3000,214.311,2099.962,100.971,1.000,0.000
12.4000,213.845,2109.700,94.498,1.000,0.000
12.5000,213.420,2118.857,89.328,1.000,0.000
12.6000,212.996,2127.568,85.390,1.000,0.000
12.7000,212.555,2135.932,82.335,1.000,0.000
12.8000,212.099,2144.029,79.840,1.000,0.000
12.9000,211.646,2151.877,77.392,1.000,0.000
13.0000,211.195,2159.512,75.550,1.000,0.000
13.1000,210.765,2166.955,73.401,1.000,0.000
13.2000,210.360,2174.145,70.518,1.000,0.000
13.3000,210.003,2180.992,66.578,1.000,0.000
