t_s,alt_m,V_ms,climb_ms,cos_phi_theta,nose_dot_up,wx,wy,wz,freelook
0.00,1093.7,263.09,-12.87,0.9991,-0.0432,-0.0172,0.0004,0.0047,0
0.10,1092.4,263.28,-12.90,0.9991,-0.0433,-0.0172,0.0004,0.0020,0
0.20,1091.1,263.46,-12.92,0.9991,-0.0433,-0.0149,-0.0013,0.0002,0
0.30,1089.8,263.65,-12.94,0.9991,-0.0431,-0.0150,-0.0008,0.0007,0
0.40,1088.5,263.83,-12.93,0.9991,-0.0430,-0.0154,-0.0004,0.0019,0
0.50,1087.2,264.02,-12.93,0.9991,-0.0431,-0.0171,0.0004,0.0022,0
0.60,1085.9,264.20,-12.94,0.9991,-0.0431,-0.0171,0.0004,0.0013,0
0.70,1084.7,264.38,-12.95,0.9991,-0.0432,-0.0171,0.0004,0.0002,0
0.80,1083.4,264.56,-12.96,0.9991,-0.0433,-0.0171,0.0004,-0.0009,0
0.90,1082.1,264.74,-12.98,0.9991,-0.0433,-0.0154,-0.0010,-0.0017,0
1.00,1080.8,264.92,-12.99,0.9991,-0.0432,-0.0149,-0.0009,-0.0010,0
1.10,1079.5,265.10,-12.98,0.9991,-0.0430,-0.0154,-0.0005,0.0008,0
1.20,1078.2,265.28,-12.97,0.9991,-0.0430,-0.0171,0.0004,0.0016,0
1.30,1076.9,265.46,-12.98,0.9991,-0.0431,-0.0171,0.0004,0.0011,0
1.40,1075.6,265.64,-12.98,0.9991,-0.0432,-0.0171,0.0004,0.0001,0
1.50,1074.3,265.81,-12.99,0.9991,-0.0432,-0.0171,0.0004,-0.0008,0
1.60,1073.0,265.99,-13.01,0.9991,-0.0433,-0.0171,0.0004,-0.0016,0
1.70,1071.7,266.17,-13.02,0.9991,-0.0433,-0.0149,-0.0014,-0.0019,0
1.80,1070.3,266.34,-13.02,0.9991,-0.0431,-0.0168,0.3166,0.0958,0
1.90,1069.0,266.51,-13.01,0.9984,-0.0436,-0.0246,0.2889,0.5595,0
2.00,1067.7,266.65,-13.06,0.9936,-0.0479,-0.0128,0.5389,0.7980,0
2.10,1066.4,266.73,-13.09,0.9807,-0.0520,0.0202,0.3381,0.8903,0
2.20,1065.1,266.76,-12.84,0.9622,-0.0551,0.1140,0.6031,0.7860,0
2.30,1063.9,266.69,-12.20,0.9413,-0.0582,0.1292,0.5063,0.6303,0
