t_s,alt_m,V_ms,climb_ms,nose_elev,cos_phi_theta,wx,wy,wz,blend,held_bank,freelook
0.000,703.6,283.67,-9.86,-0.0306,0.9995,-0.0187,0.0002,0.0018,0.0000,0.0041,0
0.100,702.6,283.77,-9.88,-0.0306,0.9995,-0.0187,0.0002,0.0008,0.0000,0.0041,0
0.200,701.6,283.87,-9.90,-0.0307,0.9995,-0.0187,0.0002,0.0000,0.0000,0.0043,0
0.300,700.6,283.97,-9.92,-0.0307,0.9995,-0.0170,-0.0029,-0.0004,0.0000,0.0043,0
0.400,699.6,284.06,-9.93,-0.0306,0.9995,-0.0170,-0.0017,0.0021,0.0000,0.0037,0
0.500,698.6,284.16,-9.93,-0.0306,0.9995,-0.0186,0.0001,0.0049,0.0000,0.0028,0
0.600,697.6,284.25,-9.93,-0.0306,0.9995,-0.0187,0.0002,0.0050,0.0000,0.0024,0
0.700,696.6,284.35,-9.94,-0.0307,0.9995,-0.0187,0.0002,0.0038,0.0000,0.0022,0
0.800,695.6,284.44,-9.95,-0.0308,0.9995,-0.0187,0.0002,0.0024,0.0000,0.0021,0
0.900,694.6,284.54,-9.96,-0.0308,0.9995,-0.0187,0.0002,0.0011,0.0000,0.0022,0
1.000,693.6,284.63,-9.98,-0.0309,0.9995,-0.0187,0.0002,0.0002,0.0000,0.0023,0
1.100,692.6,284.73,-9.99,-0.0308,0.9995,-0.0164,-0.0015,-0.0003,0.0000,0.0024,0
1.200,691.6,284.82,-9.99,-0.0307,0.9995,-0.0167,-0.0008,0.0012,0.0000,0.0020,0
1.300,690.6,284.91,-9.97,-0.0306,0.9995,-0.0185,0.0001,0.0027,0.0000,0.0015,0
1.400,689.6,285.01,-9.96,-0.0307,0.9995,-0.0187,0.0002,0.0027,0.0000,0.0013,0
1.500,688.6,285.10,-9.96,-0.0307,0.9995,-0.0187,0.0002,0.0019,0.0000,0.0012,0
1.600,687.6,285.19,-9.97,-0.0309,0.9995,-0.0265,0.0933,0.0202,0.0000,-0.0052,0
1.700,686.6,285.28,-10.06,-0.0326,0.9994,-0.0255,0.2409,0.2518,0.0000,-0.0664,0
1.800,685.6,285.36,-10.09,-0.0303,0.9984,0.0187,0.2227,0.4034,0.0000,-0.1264,0
1.900,684.6,285.43,-9.71,-0.0262,0.9954,0.0853,0.4947,0.5600,0.0000,-0.2075,0
2.000,683.7,285.44,-8.33,-0.0100,0.9863,0.3385,0.6588,0.8074,0.0810,-0.3018,0
2.100,683.0,285.33,-4.96,0.0085,0.9732,0.2020,0.3530,0.6725,0.0000,-0.3639,0
2.200,682.7,285.18,-0.96,0.0202,0.9561,0.2079,0.3248,0.5731,0.0000,-0.4050,0
2.300,682.9,284.99,3.41,0.0367,0.9381,0.3708,0.4755,0.4539,0.0583,-0.4244,0
2.400,683.5,284.69,8.69,0.0559,0.9216,0.3587,0.4930,0.3545,0.1814,-0.4244,0
2.500,684.7,284.31,14.45,0.0752,0.9052,0.4228,0.4749,0.4120,0.3327,-0.4244,0
2.600,686.5,283.83,20.78,0.0932,0.8515,0.5004,0.5906,1.6918,0.8280,-0.4244,0
2.700,688.9,283.26,27.60,0.1059,0.7351,0.6873,0.5895,1.9816,1.0000,-0.4244,0
