latflick V=70 offset=2 down=0 | RIGHT 960 then LEFT(+down) 1
  tick  side   bank   roll   pitch    yaw    err  bankErr  tb.x  tb.y  tb.z  push regime
     20  RIGHT      7   -1.00   -0.05   -0.13      8     159   0.05  -0.14  -0.99   0   FINE
     40  RIGHT     25   -1.00   -0.16   -0.46      8     139   0.09  -0.10  -0.99   0   FINE
     60  RIGHT     41    1.00    0.01   -0.62      5     116   0.08  -0.04  -1.00   0   FINE
     80  RIGHT     39    1.00    0.16    0.27      2      85   0.04   0.00  -1.00   0   FINE
    100  RIGHT     30   -0.45    0.06    0.04      2      66   0.03   0.01  -1.00   0   FINE
    120  RIGHT     27   -0.14    0.03   -0.03      2      60   0.03   0.02  -1.00   0   FINE
    140  RIGHT     28   -0.02    0.03   -0.04      2      57   0.03   0.02  -1.00   0   FINE
    160  RIGHT     29    0.00    0.02   -0.04      2      56   0.03   0.02  -1.00   0   FINE
    180  RIGHT     29    0.01    0.02   -0.05      2      56   0.03   0.02  -1.00   0   FINE
    200  RIGHT     30    0.00    0.02   -0.05      2      57   0.03   0.02  -1.00   0   FINE
    220  RIGHT     30    0.00    0.02   -0.05      2      58   0.03   0.02  -1.00   0   FINE
    240  RIGHT     30    0.00    0.02   -0.04      2      59   0.03   0.02  -1.00   0   FINE
    260  RIGHT     30    0.00    0.02   -0.04      2      60   0.03   0.02  -1.00   0   FINE
    280  RIGHT     30    0.00    0.02   -0.04      2      60   0.03   0.02  -1.00   0   FINE
    300  RIGHT     30    0.00    0.02   -0.04      2      61   0.03   0.02  -1.00   0   FINE
    320  RIGHT     30    0.00    0.02   -0.04      2      62   0.03   0.02  -1.00   0   FINE
    340  RIGHT     30    0.00    0.02   -0.04      2      62   0.03   0.02  -1.00   0   FINE
    360  RIGHT     30    0.00    0.02   -0.04      2      63   0.03   0.02  -1.00   0   FINE
    380  RIGHT     30    0.00    0.02   -0.04      2      64   0.03   0.02  -1.00   0   FINE
    400  RIGHT     30    0.00    0.02   -0.04      2      64   0.03   0.01  -1.00   0   FINE
    420  RIGHT     30    0.00    0.02   -0.04      2      65   0.03   0.01  -1.00   0   FINE
    440  RIGHT     30    0.00    0.01   -0.04      2      65   0.03   0.01  -1.00   0   FINE
    460  RIGHT     30    0.00    0.01   -0.04      2      65   0.03   0.01  -1.00   0   FINE
    480  RIGHT     30    0.00    0.01   -0.04      2      66   0.03   0.01  -1.00   0   FINE
    500  RIGHT     30    0.00    0.01   -0.04      2      66   0.03   0.01  -1.00   0   FINE
    520  RIGHT     30    0.00    0.01   -0.04      2      67   0.03   0.01  -1.00   0   FINE
    540  RIGHT     30    0.00    0.01   -0.04      2      67   0.03   0.01  -1.00   0   FINE
    560  RIGHT     30    0.00    0.01   -0.04      2      67   0.03   0.01  -1.00   0   FINE
    580  RIGHT     30    0.00    0.01   -0.04      2      67   0.03   0.01  -1.00   0   FINE
    600  RIGHT     30    0.00    0.01   -0.04      2      68   0.03   0.01  -1.00   0   FINE
    620  RIGHT     30    0.00    0.01   -0.04      2      68   0.03   0.01  -1.00   0   FINE
    640  RIGHT     30    0.00    0.01   -0.04      2      68   0.03   0.01  -1.00   0   FINE
    660  RIGHT     30    0.00    0.01   -0.04      2      68   0.03   0.01  -1.00   0   FINE
    680  RIGHT     30    0.00    0.01   -0.04      2      69   0.03   0.01  -1.00   0   FINE
    700  RIGHT     30    0.00    0.01   -0.04      2      69   0.03   0.01  -1.00   0   FINE
    720  RIGHT     30    0.00    0.01   -0.03      2      69   0.03   0.01  -1.00   0   FINE
    740  RIGHT     30    0.00    0.01   -0.03      2      69   0.03   0.01  -1.00   0   FINE
    760  RIGHT     30    0.00    0.01   -0.03      2      70   0.03   0.01  -1.00   0   FINE
    780  RIGHT     30    0.00    0.01   -0.03      2      70   0.03   0.01  -1.00   0   FINE
    800  RIGHT     30    0.00    0.01   -0.03      2      70   0.03   0.01  -1.00   0   FINE
    820  RIGHT     30    0.00    0.01   -0.03      2      70   0.03   0.01  -1.00   0   FINE
    840  RIGHT     30    0.00    0.01   -0.03      2      70   0.03   0.01  -1.00   0   FINE
    860  RIGHT     30    0.00    0.01   -0.03      2      70   0.03   0.01  -1.00   0   FINE
    880  RIGHT     30    0.00    0.01   -0.03      2      71   0.03   0.01  -1.00   0   FINE
    900  RIGHT     30    0.00    0.01   -0.03      2      71   0.03   0.01  -1.00   0   FINE
    920  RIGHT     30    0.00    0.01   -0.03      2      71   0.03   0.01  -1.00   0   FINE
    940  RIGHT     30    0.00    0.01   -0.03      2      71   0.03   0.01  -1.00   0   FINE
    955  RIGHT     30    0.00    0.01   -0.03      2      71   0.03   0.01  -1.00   0   FINE
    956  RIGHT     30    0.00    0.01   -0.03      2      71   0.03   0.01  -1.00   0   FINE
    957  RIGHT     30    0.00    0.01   -0.03      2      71   0.03   0.01  -1.00   0   FINE
    958  RIGHT     30    0.00    0.01   -0.03      2      71   0.03   0.01  -1.00   0   FINE
    959  RIGHT     30    0.00    0.01   -0.03      2      71   0.03   0.01  -1.00   0   FINE
    960  RIGHT     30    0.00    0.01   -0.03      2      71   0.03   0.01  -1.00   0   FINE
    961   LEFT     30    0.30   -0.33    1.00      2    -131  -0.03  -0.02  -1.00   0   FINE
