# terrain-clip T1 probe. subdiv=200 tiles=2 contact_h=2.45 ambient_snow=0.77 dem=8192x4096 relief=350.0 (raw DEM, unblurred)
site	kind	x_m	y_m	field_r	facet_r	gap_m	elev_m	note
MURRAY_MOUTH	grid	-500	-500	15139.653	15139.607	-0.045	139.65	-
MURRAY_MOUTH	grid	-500	-480	15139.653	15139.599	-0.054	139.65	-
MURRAY_MOUTH	grid	-500	-460	15139.653	15139.620	-0.033	139.65	-
MURRAY_MOUTH	grid	-500	-440	15139.653	15139.616	-0.037	139.65	-
MURRAY_MOUTH	grid	-500	-420	15139.653	15139.612	-0.041	139.65	-
MURRAY_MOUTH	grid	-500	-400	15139.653	15139.636	-0.017	139.65	-
MURRAY_MOUTH	grid	-500	-380	15139.653	15139.632	-0.021	139.65	-
MURRAY_MOUTH	grid	-500	-360	15139.653	15139.648	-0.005	139.65	-
MURRAY_MOUTH	grid	-500	-340	15139.653	15139.693	0.040	139.65	-
MURRAY_MOUTH	grid	-500	-320	15139.905	15140.115	0.210	139.90	-
MURRAY_MOUTH	grid	-500	-300	15140.659	15140.785	0.126	140.66	-
MURRAY_MOUTH	grid	-500	-280	15141.314	15141.482	0.168	141.31	-
MURRAY_MOUTH	grid	-500	-260	15142.035	15142.261	0.226	142.04	-
MURRAY_MOUTH	grid	-500	-240	15142.853	15143.056	0.203	142.85	-
MURRAY_MOUTH	grid	-500	-220	15143.701	15143.865	0.164	143.70	-
MURRAY_MOUTH	grid	-500	-200	15144.561	15145.025	0.464	144.56	-
MURRAY_MOUTH	grid	-500	-180	15145.440	15146.315	0.875	145.44	-
MURRAY_MOUTH	grid	-500	-160	15148.148	15148.193	0.046	148.15	-
MURRAY_MOUTH	grid	-500	-140	15147.768	15147.927	0.159	147.77	-
MURRAY_MOUTH	grid	-500	-120	15147.195	15147.413	0.218	147.20	-
MURRAY_MOUTH	grid	-500	-100	15146.747	15146.855	0.109	146.75	-
MURRAY_MOUTH	grid	-500	-80	15146.479	15146.724	0.245	146.48	-
MURRAY_MOUTH	grid	-500	-60	15146.453	15146.659	0.205	146.45	-
MURRAY_MOUTH	grid	-500	-40	15146.680	15146.705	0.025	146.68	-
MURRAY_MOUTH	grid	-500	-20	15147.161	15147.450	0.289	147.16	-
MURRAY_MOUTH	grid	-500	0	15147.909	15148.180	0.270	147.91	-
MURRAY_MOUTH	grid	-500	20	15148.864	15148.936	0.072	148.86	-
MURRAY_MOUTH	grid	-500	40	15149.966	15150.336	0.369	149.97	-
MURRAY_MOUTH	grid	-500	60	15151.151	15151.367	0.217	151.15	-
MURRAY_MOUTH	grid	-500	80	15152.336	15152.428	0.092	152.34	-
MURRAY_MOUTH	grid	-500	100	15153.453	15153.558	0.106	153.45	-
MURRAY_MOUTH	grid	-500	120	15154.433	15154.501	0.068	154.43	-
MURRAY_MOUTH	grid	-500	140	15155.212	15155.284	0.072	155.21	-
MURRAY_MOUTH	grid	-500	160	15155.783	15155.675	-0.108	155.78	-
MURRAY_MOUTH	grid	-500	180	15156.130	15156.093	-0.036	156.13	-
MURRAY_MOUTH	grid	-500	200	15156.260	15156.298	0.038	156.26	-
MURRAY_MOUTH	grid	-500	220	15156.198	15156.082	-0.117	156.20	-
MURRAY_MOUTH	grid	-500	240	15155.989	15155.892	-0.097	155.99	-
MURRAY_MOUTH	grid	-500	260	15155.677	15155.675	-0.003	155.68	-
MURRAY_MOUTH	grid	-500	280	15155.283	15155.221	-0.063	155.28	-
MURRAY_MOUTH	grid	-500	300	15154.852	15154.806	-0.046	154.85	-
MURRAY_MOUTH	grid	-500	320	15154.400	15154.380	-0.019	154.40	-
